Sr. No.,ProductName,GenericName,NDC,Dosage,ExpDate,SupID,Price,PurchasePrice,SellPrice
104,Lidocaine,lidocaine,1004,80,Dec-23,1,9.99,9.33,10.45
105,Morphine,morphine,1005,30,Apr-26,1,13.45,12.88,14.45
106,Phenobarbital,phenobarbital,1006,20,Feb-24,1,15.55,14.89,16.67
107,Quetiapine,quetiapine,1007,50,Feb-24,1,15.55,14.89,16.67
108,Simvastatin,simvastatin,1008,40,Aug-26,1,9.45,8.78,10.22
109,Ventolin,albuterol,1009,25,May-26,1,9.45,8.78,10.22
110,Hydrochlorothiazide,hydrochlorothiazide,1010,10,Mar-26,1,9.45,8.78,10.22
111,Diazepam,diazepam,1011,10,Mar-26,1,9.45,8.78,10.22
112,Lorazepam,lorazepam,1012,80,Mar-26,1,9.45,8.78,10.22
113,Amlodipine,amlodipine,1013,60,Oct-25,1,8.34,7.78,9.45
114,Furosemide,furosemide,1014,20,Aug-25,1,8.34,7.78,9.45
115,Ibuprofen,ibuprofen,1015,40,Nov-25,1,8.34,7.78,9.45
116,Levothyroxine,levothyroxine,1016,30,Dec-23,1,8.34,7.78,9.45
117,Alprazolam,alprazolam,1017,50,Dec-23,1,8.34,7.78,9.45
118,Avil,warfarin,1018,100,Nov-24,1,8.34,7.78,9.45
119,Clopidogrel,clopidogrel,1019,60,Dec-23,1,8.34,7.78,9.45
120,Atenolol,atenolol,1020,80,Dec-23,1,8.34,7.78,9.45
121,Azithromycin,azithromycin,1021,100,Nov-24,1,8.34,7.78,9.45
122,Cetirizine,cetirizine,1022,80,Dec-23,1,8.34,7.78,9.45
123,Omeprazole,omeprazole,1023,60,Dec-23,1,8.34,7.78,9.45
124,Citalopram,citalopram,1024,50,Nov-24,1,8.34,7.78,9.45
125,Loperamide,loperamide,1025,40,Dec-23,1,8.34,7.78,9.45
126,Paroxetine,paroxetine,1026,60,Dec-23,1,8.34,7.78,9.45
127,Escitalopram,escitalopram,1027,30,Nov-24,1,8.34,7.78,9.45
128,Montelukast,montelukast,1028,20,Dec-23,1,8.34,7.78,9.45
129,Bupropion,bupropion,1029,10,Dec-23,1,8.34,7.78,9.45
130,Duloxetine,duloxetine,1030,30,Nov-24,1,8.34,7.78,9.45
131,Fesoterodine,fesoterodine,1031,40,Dec-23,1,8.34,7.78,9.45
132,Desvenlafaxine,desvenlafaxine,1032,30,Dec-23,1,8.34,7.78,9.45
133,Atomoxetine,atomoxetine,1033,20,Nov-24,1,8.34,7.78,9.45
134,Pregabalin,pregabalin,1034,10,Dec-23,1,8.34,7.78,9.45
135,Oxycodone,oxycodone,1035,10,Dec-23,1,8.34,7.78,9.45
136,Tramadol,tramadol,1036,80,Nov-24,1,8.34,7.78,9.45
137,Methadone,methadone,1037,60,Dec-23,1,8.34,7.78,9.45
138,Carisoprodol,carisoprodol,1038,100,Dec-23,1,8.34,7.78,9.45
139,Buprenorphine,buprenorphine,1039,40,Nov-24,1,8.34,7.78,9.45
140,Meperidine,meperidine,1040,50,Dec-23,1,8.34,7.78,9.45
141,Fentanyl,fentanyl,1041,30,Dec-23,1,8.34,7.78,9.45
142,Hydromorphone,hydromorphone,1042,20,Nov-24,1,8.34,7.78,9.45
143,Levorphanol,levorphanol,1043,10,Dec-23,1,8.34,7.78,9.45
144,Methadyl Acetate,methadyl acetate,1044,40,Dec-23,1,8.34,7.78,9.45
145,Morphine,morphine,1045,60,Nov-24,1,8.34

